id,name,Industry,year,scope1_intensity,scope2_intensity,scope3_intensity,scope_1,scope_2,scope_3,energy_cons,waste,waste_recycled,water_cons,waste_water,renewable_energy_pct,waste_recycled_pct,fuel_fleet,donations,donations_pct,contrib_political,legal_spending,fines_spending,employees,employee_turnover,female_pct,female_mgmt_pct,employee_parental_pct,employee_tenure,employee_under30_pct,employee_over50_pct,training_spending
31,Kion Group AG,Industrials,2020,,,,67900000,4800000,21300000,353640000,65638000,,4.72E+11,3.69E+11,,0.064217374,,,,,,,53122,664025,17.2,,,,10.6,38.1,
31,Kion Group AG,Industrials,2019,,,,72600000,4800000,22700000,353640000,,,,,,,,,,,,,55047,500427.2727,16.7,,,,11.7,36.5,
22,Gerresheimer AG,Industrials,2021,,,,280410,272082,410060,,21267137.96,,976951,,,,,,,,,,10447,15.18139179,30.8,20.2,,,,,
22,Gerresheimer AG,Industrials,2020,,,,275334,285092,304024,,,,1049098,,,,,,,,,,9880,11.97368421,33.3,18,,,,,
22,Gerresheimer AG,Industrials,2019,,,,264803,282724,297051,,,,972706,,,,,,,,,,,,,,,,,,
8,Brenntag AG,Chemicals,2021,,,,193989,80513,,1655392.536,,,,,,,,,,,,,17236,3,34.48595962,31,,,10.35042933,33.36040845,
8,Brenntag AG,Chemicals,2020,,,,200527,91383,,1614488.951,,,,,,,,,,,,,17237,5.1,34.17648083,21,,,11.69577073,32.01833266,
18,Fraport AG,Transportation & Logistics,2021,,,,23.2,90.9,,2172100,1600,,0.884,,,,,,,,,,,,26.3,,,,,,
18,Fraport AG,Transportation & Logistics,2020,,,,21.9,107.4,,2026330,1496,,0.905,,,,,,,,,,,,,,,,,,
55,Telefónica Deutschland Holding AG,Telecomunications,2018,,,,6889,467499,6061,2800800,3120716.4,,77685,,,,,,,,,,8868,,40.2,25,,,14.58,7.81,
8,Brenntag AG,Chemicals,2019,,,,,,,,,,,,,,,,,,,,17492,4.4,33.62108392,19.1,,,9.410016007,19.13325985,
48,Siemens Healthineers AG,Health Care,2019,,,,138000,245000,3005000,1567081,22300000,,1140000,1110000,36.94767533,81,,4.3,,,,,52018,,30,11.39028798,,,29,18,
1,Aareal Bank AG,Financial Services,2021,,,,,,,50965,,,,,,,,,,,,,3170,,36.6,24.3,,,,,
30,K+S AG,Chemicals,2021,,,,1900000,200000,500000,44361720,,,,,,,,,,,,,10840,9.2,,,,,,,
30,K+S AG,Chemicals,2020,,,,1900000,300000,500000,44199000,,,,,,,,,,,,,11273,7.6,,,,,,,
23,Grand City Properties S.A.,Real Estate,2021,,,,7000,10229,55452,,,,5102748,,,,,,,,,,885,13,50.51,,6.89,,,,
23,Grand City Properties S.A.,Real Estate,2020,,,,5442,8448,46603,,,,5116728,,,,,,,,,,940,10,55.85,,6.28,,,,
6,Aurubis AG,Metals and Mining,2018,,,,522000,936000,64.1,12.636,,,,,,,,,,,,,6853,,12,,,,14.79,35.48,
6,Aurubis AG,Metals and Mining,2017,,,,517000,1048000,57,12.744,,,,,,,,,,,,,6673,,12,,,,14.95,36.2,
9,Cancom SE,Software and Technology Services,2021,5.4,6.5,,7000,8500,,144.22,,,,,,,,,,,,,4038,12.9,21.34720158,,3.318474492,,23.95,24.59,
9,Cancom SE,Software and Technology Services,2020,4.6,7.1,,5442,8396,,141.41,,,,,,,,,,,,,3742,13.3,20.4970604,,3.099946553,,22.96,24.8,
80,HeidelbergCement,Chemicals,2021,,,,69000000,4800000,20000000,353640000,1276700000,,9000000,,,66,,,,,,,51209,341393.3333,,,,,11.2,37,
26,HELLA GmbH & Co. KGaA,Automotive,2021,,,,49651,172834,,,,,,,,,,,,,,,36500,,37.2630137,,,,20.85479452,20.87945205,
